timestamp,anomaly_score,is_anomaly,risk_level,risk_color,affected_areas,anomaly_features,scenario_count,scenario_1_feature,scenario_1_name,scenario_1_description,scenario_1_impact,scenario_1_action,scenario_2_feature,scenario_2_name,scenario_2_description,scenario_2_impact,scenario_2_action,scenario_3_feature,scenario_3_name,scenario_3_description,scenario_3_impact,scenario_3_action,scenario_4_feature,scenario_4_name,scenario_4_description,scenario_4_impact,scenario_4_action
2025-05-17 00:00:00,1.480348245109851,1,危险,红色,原料与采购物流区; 轧制区; 炼铁区; 烧结/球团区,炼铁区_温度传感器_铁水温度; 原料与采购物流区_料位传感器_料位高度; 烧结/球团区_湿度传感器_混料水分; 轧制区_温度传感器_坯料温度,4,炼铁区_温度传感器_铁水温度,铁水温度异常,高炉出铁温度偏离正常范围,直铁水温度直接影响炼钢区钢水初始温度,调整高炉操作参数和燃料结构,原料与采购物流区_料位传感器_料位高度,料仓存量异常,料仓料位过高或过低，影响连续供料,原料区的料位高度变化直接影响烧结区混料水分含量,及时补料或调整出料速度,烧结/球团区_湿度传感器_混料水分,混料水分超标,混合料水分含量异常，影响成球效果,混料水分含量波动会影响烧结矿强度，进而影响炼铁区的炉顶压力变化,调整加水量或增加脱水措施,轧制区_温度传感器_坯料温度,坯料温度异常,轧制前坯料温度偏离工艺要求,影响轧制力分配和产品性能,调整加热炉操作或轧制节拍
2025-05-17 00:00:30,0.7792574354176697,1,警告,黄色,炼钢区; 炼铁区; 连铸区; 烧结/球团区; 原料与采购物流区,炼铁区_温度传感器_铁水温度; 原料与采购物流区_料位传感器_料位高度; 烧结/球团区_湿度传感器_混料水分; 炼钢区_温度传感器_钢水温度,4,炼铁区_温度传感器_铁水温度,铁水温度异常,高炉出铁温度偏离正常范围,直铁水温度直接影响炼钢区钢水初始温度,调整高炉操作参数和燃料结构,原料与采购物流区_料位传感器_料位高度,料仓存量异常,料仓料位过高或过低，影响连续供料,原料区的料位高度变化直接影响烧结区混料水分含量,及时补料或调整出料速度,烧结/球团区_湿度传感器_混料水分,混料水分超标,混合料水分含量异常，影响成球效果,混料水分含量波动会影响烧结矿强度，进而影响炼铁区的炉顶压力变化,调整加水量或增加脱水措施,炼钢区_温度传感器_钢水温度,钢水温度偏差,转炉或电炉钢水温度异常,炼钢区钢水温度直接影响连铸区钢水温度,调整冶炼工艺和加热参数
2025-05-17 00:01:00,0.4833008495307755,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:01:30,0.4928547167356162,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:02:00,0.4710388663847373,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:02:30,0.4630939790974869,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:03:00,0.388238406532071,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:03:30,0.4635927133167509,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:04:00,0.3904092400326593,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:04:30,0.3952343550225549,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:05:00,0.4036075697086085,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:05:30,0.4118225864383592,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:06:00,0.4265860731255008,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:06:30,0.3932239490918197,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:07:00,0.4193525153030013,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:07:30,0.3456236005251019,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:08:00,0.3645417362758143,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:08:30,0.373841471254817,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:09:00,0.3645417362758143,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:09:30,0.2895651937534937,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:10:00,0.3129472370331164,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:10:30,0.2950374184473823,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:11:00,0.3653989573901025,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:11:30,0.3607027843001434,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:12:00,0.3571282315120408,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:12:30,0.3589476994091303,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:13:00,0.3375881506524859,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:13:30,0.419945306728632,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:14:00,0.4364312527325648,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:14:30,0.3653209914258422,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:15:00,0.3651331459283065,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:15:30,0.3682248020571846,0,安全,绿色,无,无,0,,,,,,,,,,,,,,,,,,,,
